                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.0540  30.3747  0.52928E+03  0.52738E+03  0.37435E-06  0.51890E+03  0.52738E+03  0.37435E-06  0.51890E+03
    5.0140   2.0540  30.9954  0.44163E+03  0.43788E+03  0.13580E-06  0.43050E+03  0.43788E+03  0.13580E-06  0.43050E+03
    5.0140   2.0540  31.6050  0.36825E+03  0.36337E+03  0.48637E-07  0.35688E+03  0.36337E+03  0.48637E-07  0.35688E+03
    5.0140   2.0140  18.2777  0.10832E+05  0.12301E+05  0.17150E+01  0.11999E+05  0.12301E+05  0.17150E+01  0.11999E+05
    5.0140   2.0140  19.2944  0.85808E+04  0.96212E+04  0.62619E+00  0.94024E+04  0.96212E+04  0.62619E+00  0.94024E+04
    5.0140   2.0140  20.2620  0.68854E+04  0.76297E+04  0.23473E+00  0.74677E+04  0.76297E+04  0.23473E+00  0.74677E+04
    5.0140   2.0140  21.1872  0.55806E+04  0.61160E+04  0.89666E-01  0.59940E+04  0.61160E+04  0.89666E-01  0.59940E+04
    5.0140   2.0140  22.0754  0.45580E+04  0.49440E+04  0.34698E-01  0.48508E+04  0.49440E+04  0.34698E-01  0.48508E+04
    5.0140   2.0140  22.9308  0.37444E+04  0.40226E+04  0.13540E-01  0.39505E+04  0.40226E+04  0.13540E-01  0.39505E+04
    5.0140   2.0140  23.7571  0.30892E+04  0.32890E+04  0.53066E-02  0.32326E+04  0.32890E+04  0.53066E-02  0.32326E+04
    5.0140   2.0140  24.5571  0.25565E+04  0.26993E+04  0.20826E-02  0.26546E+04  0.26993E+04  0.20826E-02  0.26546E+04
    5.0140   2.0140  25.3334  0.21201E+04  0.22212E+04  0.81621E-03  0.21854E+04  0.22212E+04  0.81621E-03  0.21854E+04
    5.0140   2.0140  26.0881  0.17609E+04  0.18317E+04  0.31875E-03  0.18028E+04  0.18317E+04  0.31875E-03  0.18028E+04
    5.0140   2.0140  26.8230  0.14643E+04  0.15129E+04  0.12382E-03  0.14895E+04  0.15129E+04  0.12382E-03  0.14895E+04
    5.0140   2.0140  27.5397  0.12189E+04  0.12514E+04  0.47764E-04  0.12323E+04  0.12514E+04  0.47764E-04  0.12323E+04
    5.0140   2.0140  28.2396  0.10157E+04  0.10364E+04  0.18273E-04  0.10207E+04  0.10364E+04  0.18273E-04  0.10207E+04
    5.0140   2.0140  28.9240  0.84699E+03  0.85934E+03  0.69246E-05  0.84631E+03  0.85934E+03  0.69246E-05  0.84631E+03
    5.0140   2.0140  29.5939  0.70656E+03  0.71294E+03  0.25969E-05  0.70199E+03  0.71294E+03  0.25969E-05  0.70199E+03
    5.0140   2.0140  30.2502  0.58973E+03  0.59189E+03  0.96312E-06  0.58259E+03  0.59189E+03  0.96312E-06  0.58259E+03
    5.0140   2.0140  30.8939  0.49218E+03  0.49144E+03  0.35292E-06  0.48346E+03  0.49144E+03  0.35292E-06  0.48346E+03
    5.0140   2.0140  31.5258  0.41067E+03  0.40799E+03  0.12769E-06  0.40107E+03  0.40799E+03  0.12769E-06  0.40107E+03
    5.0140   2.0140  32.1464  0.34223E+03  0.33838E+03  0.45612E-07  0.33232E+03  0.33838E+03  0.45612E-07  0.33232E+03
    5.0140   1.8440  19.6484  0.81035E+04  0.93250E+04  0.15311E+01  0.90729E+04  0.93250E+04  0.15311E+01  0.90729E+04
    5.0140   1.8440  20.7429  0.64138E+04  0.72841E+04  0.55566E+00  0.71010E+04  0.72841E+04  0.55566E+00  0.71010E+04
    5.0140   1.8440  21.7848  0.51425E+04  0.57691E+04  0.20697E+00  0.56333E+04  0.57691E+04  0.20697E+00  0.56333E+04
    5.0140   1.8440  22.7813  0.41650E+04  0.46194E+04  0.78537E-01  0.45171E+04  0.46194E+04  0.78537E-01  0.45171E+04
    5.0140   1.8440  23.7382  0.33992E+04  0.37299E+04  0.30181E-01  0.36517E+04  0.37299E+04  0.30181E-01  0.36517E+04
    5.0140   1.8440  24.6600  0.27901E+04  0.30311E+04  0.11693E-01  0.29706E+04  0.30311E+04  0.11693E-01  0.29706E+04
    5.0140   1.8440  25.5505  0.22999E+04  0.24755E+04  0.45492E-02  0.24282E+04  0.24755E+04  0.45492E-02  0.24282E+04
    5.0140   1.8440  26.4130  0.19018E+04  0.20294E+04  0.17717E-02  0.19920E+04  0.20294E+04  0.17717E-02  0.19920E+04
    5.0140   1.8440  27.2502  0.15758E+04  0.16682E+04  0.68886E-03  0.16383E+04  0.16682E+04  0.68886E-03  0.16383E+04
    5.0140   1.8440  28.0642  0.13077E+04  0.13741E+04  0.26685E-03  0.13501E+04  0.13741E+04  0.26685E-03  0.13501E+04
    5.0140   1.8440  28.8571  0.10865E+04  0.11338E+04  0.10279E-03  0.11144E+04  0.11338E+04  0.10279E-03  0.11144E+04
    5.0140   1.8440  29.6305  0.90367E+03  0.93687E+03  0.39311E-04  0.92105E+03  0.93687E+03  0.39311E-04  0.92105E+03
    5.0140   1.8440  30.3860  0.75220E+03  0.77502E+03  0.14906E-04  0.76212E+03  0.77502E+03  0.14906E-04  0.76212E+03
    5.0140   1.8440  31.1249  0.62663E+03  0.64183E+03  0.55971E-05  0.63117E+03  0.64183E+03  0.55971E-05  0.63117E+03
    5.0140   1.8440  31.8484  0.52219E+03  0.53188E+03  0.20791E-05  0.52299E+03  0.53188E+03  0.20791E-05  0.52299E+03
    5.0140   1.8440  32.5574  0.43529E+03  0.44096E+03  0.76354E-06  0.43350E+03  0.44096E+03  0.76354E-06  0.43350E+03
    5.0140   1.8440  33.2529  0.36284E+03  0.36564E+03  0.27699E-06  0.35931E+03  0.36564E+03  0.27699E-06  0.35931E+03
    5.0140   1.8440  33.9358  0.30223E+03  0.30302E+03  0.99185E-07  0.29761E+03  0.30302E+03  0.99185E-07  0.29761E+03
    5.0140   1.8440  34.6068  0.25156E+03  0.25099E+03  0.35043E-07  0.24631E+03  0.25099E+03  0.35043E-07  0.24631E+03
    5.0140   1.7440  20.5293  0.68315E+04  0.79307E+04  0.14379E+01  0.77013E+04  0.79307E+04  0.14379E+01  0.77013E+04
    5.0140   1.7440  21.6741  0.54057E+04  0.61913E+04  0.51997E+00  0.60245E+04  0.61913E+04  0.51997E+00  0.60245E+04
    5.0140   1.7440  22.7639  0.43331E+04  0.49009E+04  0.19298E+00  0.47771E+04  0.49009E+04  0.19298E+00  0.47771E+04
    5.0140   1.7440  23.8064  0.35087E+04  0.39221E+04  0.72955E-01  0.38288E+04  0.39221E+04  0.72955E-01  0.38288E+04
    5.0140   1.7440  24.8076  0.28628E+04  0.31654E+04  0.27928E-01  0.30939E+04  0.31654E+04  0.27928E-01  0.30939E+04
    5.0140   1.7440  25.7724  0.23491E+04  0.25709E+04  0.10774E-01  0.25157E+04  0.25709E+04  0.10774E-01  0.25157E+04
    5.0140   1.7440  26.7045  0.19357E+04  0.20985E+04  0.41742E-02  0.20553E+04  0.20985E+04  0.41742E-02  0.20553E+04
