                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.8440  24.6600  0.24279E+02  0.26625E+02  0.63803E-02  0.25818E+02  0.26625E+02  0.63803E-02  0.25818E+02
    5.0140   1.8440  25.5505  0.20223E+02  0.21979E+02  0.41251E-02  0.21353E+02  0.21979E+02  0.41251E-02  0.21353E+02
    5.0140   1.8440  26.4130  0.16932E+02  0.18245E+02  0.27017E-02  0.17756E+02  0.18245E+02  0.27017E-02  0.17756E+02
    5.0140   1.8440  27.2502  0.14255E+02  0.15229E+02  0.17880E-02  0.14844E+02  0.15229E+02  0.17880E-02  0.14844E+02
    5.0140   1.8440  28.0642  0.12055E+02  0.12763E+02  0.11955E-02  0.12457E+02  0.12763E+02  0.11955E-02  0.12457E+02
    5.0140   1.8440  28.8571  0.10122E+02  0.10649E+02  0.80659E-03  0.10404E+02  0.10649E+02  0.80659E-03  0.10404E+02
    5.0140   1.8440  29.6305  0.85157E+01  0.89090E+01  0.55071E-03  0.87119E+01  0.89090E+01  0.55071E-03  0.87119E+01
    5.0140   1.8440  30.3860  0.71978E+01  0.74848E+01  0.38003E-03  0.73253E+01  0.74848E+01  0.38003E-03  0.73253E+01
    5.0140   1.8440  31.1249  0.61093E+01  0.63114E+01  0.26549E-03  0.61815E+01  0.63114E+01  0.26549E-03  0.61815E+01
    5.0140   1.8440  31.8484  0.51949E+01  0.53275E+01  0.18703E-03  0.52214E+01  0.53275E+01  0.18703E-03  0.52214E+01
    5.0140   1.8440  32.5574  0.43614E+01  0.44563E+01  0.13241E-03  0.43691E+01  0.44563E+01  0.13241E-03  0.43691E+01
    5.0140   1.8440  33.2529  0.36812E+01  0.37458E+01  0.93490E-04  0.36737E+01  0.37458E+01  0.93490E-04  0.36737E+01
    5.0140   1.8440  33.9358  0.31252E+01  0.31632E+01  0.66555E-04  0.31034E+01  0.31632E+01  0.66555E-04  0.31034E+01
    5.0140   1.8440  34.6068  0.26530E+01  0.26712E+01  0.47707E-04  0.26214E+01  0.26712E+01  0.47707E-04  0.26214E+01
    5.0140   1.7440  20.5293  0.57265E+02  0.67337E+02  0.74651E-01  0.64023E+02  0.67337E+02  0.74651E-01  0.64023E+02
    5.0140   1.7440  21.6741  0.45780E+02  0.53007E+02  0.42765E-01  0.50643E+02  0.53007E+02  0.42765E-01  0.50643E+02
    5.0140   1.7440  22.7639  0.37050E+02  0.42311E+02  0.25266E-01  0.40585E+02  0.42311E+02  0.25266E-01  0.40585E+02
    5.0140   1.7440  23.8064  0.30276E+02  0.34145E+02  0.15314E-01  0.32867E+02  0.34145E+02  0.15314E-01  0.32867E+02
    5.0140   1.7440  24.8076  0.24930E+02  0.27806E+02  0.95003E-02  0.26838E+02  0.27806E+02  0.95003E-02  0.26838E+02
    5.0140   1.7440  25.7724  0.20654E+02  0.22802E+02  0.60102E-02  0.22062E+02  0.22802E+02  0.60102E-02  0.22062E+02
    5.0140   1.7440  26.7045  0.17199E+02  0.18813E+02  0.38756E-02  0.18240E+02  0.18813E+02  0.38756E-02  0.18240E+02
    5.0140   1.7440  27.6075  0.14386E+02  0.15600E+02  0.25338E-02  0.15152E+02  0.15600E+02  0.25338E-02  0.15152E+02
    5.0140   1.7440  28.4840  0.12089E+02  0.13000E+02  0.16765E-02  0.12648E+02  0.13000E+02  0.16765E-02  0.12648E+02
    5.0140   1.7440  29.3365  0.10217E+02  0.10890E+02  0.11197E-02  0.10611E+02  0.10890E+02  0.11197E-02  0.10611E+02
    5.0140   1.7440  30.1670  0.86218E+01  0.91168E+01  0.75465E-03  0.88936E+01  0.91168E+01  0.75465E-03  0.88936E+01
    5.0140   1.7440  30.9772  0.72371E+01  0.76116E+01  0.51411E-03  0.74320E+01  0.76116E+01  0.51411E-03  0.74320E+01
    5.0140   1.7440  31.7689  0.61031E+01  0.63806E+01  0.35398E-03  0.62356E+01  0.63806E+01  0.35398E-03  0.62356E+01
    5.0140   1.7440  32.5432  0.51665E+01  0.53678E+01  0.24676E-03  0.52503E+01  0.53678E+01  0.24676E-03  0.52503E+01
    5.0140   1.7440  33.3015  0.43940E+01  0.45319E+01  0.17362E-03  0.44359E+01  0.45319E+01  0.17362E-03  0.44359E+01
    5.0140   1.7440  34.0447  0.37002E+01  0.37971E+01  0.12295E-03  0.37185E+01  0.37971E+01  0.12295E-03  0.37185E+01
    5.0140   1.7440  34.7740  0.31105E+01  0.31798E+01  0.87037E-04  0.31152E+01  0.31798E+01  0.87037E-04  0.31152E+01
    5.0140   1.7440  35.4902  0.26297E+01  0.26758E+01  0.61933E-04  0.26223E+01  0.26758E+01  0.61933E-04  0.26223E+01
    5.0140   1.7440  36.1940  0.22338E+01  0.22597E+01  0.44429E-04  0.22153E+01  0.22597E+01  0.44429E-04  0.22153E+01
